=================================
=  France

Lucas Tousart,                M,  1.75 m,  b. 29 Apr 1997 @ Arras
Quentin Boisgard,             M,  1.74 m,  b. 17 Mar 1997 @ Toulouse
Martin Terrier,               F,  1.84 m,  b. 4 Mar 1997 @ Armentières
Gerzino Nyamsi,               D,  1.95 m,  b. 22 Jan 1997 @ Saint-Brieuc
Issa Diop,                    D,  1.93 m,  b. 9 Jan 1997 @ Toulouse

Tanguy NDombèlé,              M,  1.76 m,  b. 28 Dec 1996 @ Longjumeau
Mathias Pereira Lage,         M,  1.80 m,  b. 30 Nov 1996 @ Clermont-Ferrand
Rémi Oudin,                   F,  1.85 m,  b. 18 Nov 1996 @ Châlons-en-Champagne
Robin Le Normand,             D,  1.87 m,  b. 11 Nov 1996 @ Pabu
Alexis Blin,                  M,  1.84 m,  b. 16 Sep 1996 @ Le Mans
Aloïs Confais,                M,  1.74 m,  b. 7 Sep 1996 @ Evreux
